merchant_id,transaction_velocity,avg_transaction_value,refund_rate,chargeback_rate,business_age_days,category_mismatch_score,night_txn_ratio,unique_customer_ratio,geographic_spread,incomplete_profile_score,label
M-01000,41.7322,1009.9622,0.0675,0.007,299,0.1475,0.0903,0.7246,6,0.1296,0
M-01001,30.2113,1279.3456,0.0668,0.0015,546,0.0993,0.0779,0.6653,1,0.0551,0
M-01002,65.4587,951.3298,0.0769,0.0109,785,0.0684,0.0891,0.4584,6,0.123,0
M-01003,39.9256,513.541,0.0286,0.0063,1020,0.0099,0.0822,0.5646,1,0.0487,0
M-01004,59.0901,811.4022,0.0699,0.012,242,0.0701,0.0673,0.7334,6,0.0759,1
M-01005,78.2928,761.7272,0.0212,0.0016,627,0.0798,0.1067,0.7245,4,0.0714,0
M-01006,37.1587,526.0473,0.0544,0.0141,30,0.1326,0.0727,0.7866,2,0.0185,0
M-01007,60.2499,1009.2049,0.0706,0.0038,1511,0.124,0.0548,0.657,3,0.0494,0
M-01008,36.2375,949.4413,0.0564,0.0145,727,0.0503,0.0921,0.5544,6,0.1492,0
M-01009,47.2566,793.5393,0.0326,0.0067,582,0.0853,0.1052,0.4796,3,0.1278,0
M-01010,63.0373,487.6722,0.0674,0.004,215,0.1225,0.0646,0.5167,3,0.1499,0
M-01011,39.2704,932.9745,0.0521,0.0145,1212,0.0144,0.1096,0.5441,7,0.0745,0
M-01012,54.1853,913.419,0.0342,0.0114,246,0.1312,0.0361,0.5952,5,0.0302,1
M-01013,33.7842,804.9649,0.0403,0.002,894,0.03,0.0764,0.5344,6,0.1333,0
M-01014,43.0526,362.3523,0.0515,0.0099,650,0.0464,0.0297,0.5254,2,0.0355,0
M-01015,33.8394,1254.7405,0.0459,0.0027,425,0.1171,0.0694,0.5818,5,0.1138,0
M-01016,30.7551,383.3879,0.0131,0.0018,900,0.087,0.0886,0.7587,4,0.0738,0
M-01017,44.8864,887.9378,0.0217,0.0011,178,0.1236,0.0492,0.465,2,0.0155,0
M-01018,36.0897,319.2849,0.0603,0.0115,974,0.144,0.0419,0.7098,4,0.0891,0
M-01019,55.729,1136.8885,0.0389,0.0011,425,0.0347,0.068,0.6288,3,0.0887,1
M-01020,41.6162,715.4371,0.0134,0.0014,311,0.0453,0.0409,0.3631,7,0.0775,0
M-01021,67.9587,504.0747,0.0771,0.0038,30,0.0271,0.0858,0.6328,2,0.0285,0
M-01022,49.1357,673.1643,0.0364,0.0035,1129,0.0801,0.048,0.7273,1,0.0559,0
M-01023,46.1061,782.3031,0.0742,0.0133,1115,0.0423,0.0231,0.6445,1,0.1326,0
M-01024,52.5649,756.2789,0.0982,0.0087,520,0.0959,0.1478,0.8174,10,0.1303,1
M-01025,78.6412,444.2474,0.0726,0.0118,903,0.0666,0.0762,0.3726,4,0.0657,0
M-01026,76.8201,1063.0071,0.1023,0.0171,371,0.2048,0.1366,0.5917,8,0.338,1
M-01027,39.8426,909.8272,0.0193,0.0131,1022,0.0949,0.0582,0.4471,6,0.0463,0
M-01028,61.0551,801.983,0.1018,0.0108,1273,0.2468,0.1318,0.5977,3,0.2251,1
M-01029,40.3014,976.2099,0.0687,0.0057,818,0.1254,0.0967,0.8331,4,0.0702,0
M-01030,57.8168,860.4664,0.0786,0.0086,201,0.0074,0.1142,0.6177,4,0.1054,0
M-01031,77.4719,690.1824,0.0138,0.0078,1570,0.1078,0.06,0.5708,2,0.1455,0
M-01032,45.1642,894.6529,0.0811,0.0117,30,0.314,0.0397,0.7803,7,0.1637,1
M-01033,87.9356,782.7711,0.0564,0.0073,892,0.1232,0.1219,0.9465,11,0.1824,0
M-01034,70.6049,537.3185,0.0307,0.0066,817,0.0894,0.1027,0.3676,3,0.0782,0
M-01035,54.9182,638.8869,0.0264,0.0082,828,0.1321,0.1171,0.7279,6,0.1305,0
M-01036,30.5974,603.1432,0.0768,0.014,797,0.0352,0.0914,0.4792,4,0.0321,0
M-01037,150.8342,1241.5114,0.0442,0.0228,410,0.2721,0.1055,0.6887,7,0.0596,1
M-01038,50.4807,912.8816,0.0394,0.0091,30,0.0739,0.0707,0.628,5,0.2805,1
M-01039,62.2683,634.5806,0.0794,0.0113,1269,0.0572,0.0709,0.611,4,0.1162,0
M-01040,46.5879,926.4193,0.071,0.0053,695,0.0117,0.0633,0.5135,2,0.0983,1
M-01041,12.0041,1144.8588,0.0895,0.0094,940,0.0871,0.1031,0.6038,9,0.1923,1
M-01042,45.6246,1090.6385,0.042,0.0059,809,0.0286,0.1033,0.5771,1,0.0529,0
M-01043,70.3436,660.1359,0.0244,0.01,322,0.0023,0.0742,0.8026,1,0.006,0
M-01044,64.7648,1255.2557,0.0421,0.0107,678,0.0171,0.0555,0.6214,4,0.0628,1
M-01045,69.8815,875.6784,0.0155,0.0129,598,0.1058,0.0814,0.4308,7,0.052,0
M-01046,38.6045,983.2436,0.0722,0.0139,1188,0.0841,0.0961,0.4486,1,0.0565,0
M-01047,80.0818,540.0326,0.0868,0.0243,579,0.315,0.1594,0.8394,10,0.1864,1
M-01048,56.8386,832.8189,0.0249,0.0087,368,0.0508,0.0762,0.5449,3,0.0418,0
M-01049,58.2988,939.7257,0.0404,0.0136,1194,0.0392,0.1165,0.773,2,0.007,0
M-01050,26.4546,369.9706,0.0429,0.0229,1166,0.3108,0.1285,0.7747,9,0.1291,0
M-01051,40.6274,1058.3276,0.0397,0.0191,239,0.0808,0.1564,0.7119,4,0.1439,1
M-01052,37.5227,1141.0525,0.0547,0.0123,956,0.1198,0.0829,0.5216,2,0.1057,0
M-01053,41.167,877.6165,0.0761,0.0052,1171,0.1139,0.0507,0.2445,2,0.0636,1
M-01054,47.4039,1122.3887,0.0716,0.0085,736,0.0386,0.107,0.6231,3,0.0003,0
M-01055,53.5104,1017.6172,0.0688,0.0096,63,0.027,0.1103,0.6317,7,0.0285,0
M-01056,47.9062,873.4353,0.0398,0.0144,488,0.1352,0.0812,0.5843,1,0.009,0
M-01057,46.3192,1145.913,0.0736,0.0039,1158,0.0301,0.0778,0.3726,5,0.0027,0
M-01058,46.416,1599.2245,0.0776,0.0026,397,0.0342,0.1179,0.6632,1,0.1344,0
M-01059,50.5736,810.0991,0.0211,0.0114,727,0.027,0.0689,0.3684,6,0.0867,1
M-01060,30.1093,869.3518,0.079,0.0139,1048,0.0731,0.0785,0.5293,7,0.0707,0
M-01061,101.6216,994.9229,0.0344,0.014,485,0.1324,0.0017,0.5389,1,0.3409,1
M-01062,63.0568,655.7024,0.0953,0.0102,66,0.0812,0.1323,0.7081,10,0.2378,1
M-01063,49.8943,425.1193,0.0556,0.0076,872,0.1458,0.072,0.4477,4,0.0135,1
M-01064,28.6288,1085.0769,0.0374,0.002,1408,0.0439,0.0778,0.6892,4,0.1041,0
M-01065,54.6696,621.2746,0.0363,0.0112,448,0.1487,0.0825,0.5511,1,0.1475,0
M-01066,60.5912,670.108,0.0586,0.0093,868,0.0988,0.0816,0.505,6,0.1422,1
M-01067,53.9882,357.586,0.0248,0.0148,385,0.0512,0.0844,0.8026,3,0.0985,0
M-01068,52.6804,785.4659,0.0782,0.0105,661,0.052,0.0522,0.5236,5,0.0909,0
M-01069,127.4164,50.0,0.0322,0.0241,352,0.2619,0.1682,0.6803,5,0.1536,1
M-01070,33.0985,50.0,0.0788,0.0031,770,0.0329,0.0807,0.4223,2,0.1061,0
M-01071,37.8726,1243.3502,0.0113,0.0083,94,0.1273,0.0834,0.4991,2,0.0012,0
M-01072,33.8338,975.9117,0.0356,0.0118,611,0.0139,0.1027,0.5277,5,0.0672,0
